Samples - Plot 0	"Amplitude, V - Plot 0"
0	0.00207478
1	-0.00670701
2	0.00370103
3	-0.000527234
4	0.0072788
5	-0.00280399
6	-0.0109353
7	0.00630305
8	-0.00215349
9	-0.00215349
10	0.0066283
11	0.00435154
12	0.00142427
13	0.00142427
14	-0.00280399
15	-0.00182824
16	-0.00280399
17	-0.0034545
18	-0.00735751
19	0.00240003
20	-0.000201983
21	0.00565254
22	-0.00508075
23	-0.0141878
24	0.00825456
25	0.0105313
26	-0.00312925
27	0.0066283
28	-0.00150299
29	-0.00573126
30	0.0072788
31	0.00142427
32	-0.00117774
33	0.000773772
34	0.00044852
35	0.00370103
36	-0.00443025
37	-0.00117774
38	-0.000852486
39	-0.00670701
40	-0.00670701
41	-0.0034545
42	-0.0047555
43	0.00142427
44	0.00142427
45	-0.000852486
46	0.0128081
47	-0.00117774
48	-0.0193918
49	0.00760405
50	0.0102061
51	0.0066283
52	-0.00182824
53	-0.0128868
54	0.0131333
55	0.0066283
56	-0.000201983
57	0.00272528
58	-0.00312925
59	0.00240003
60	-0.000201983
61	0.00337578
62	0.00142427
63	-0.00540601
64	-0.01061
65	0.00272528
66	0.00109902
67	-0.00280399
68	-0.00150299
69	-0.00540601
70	0.00044852
71	0.00109902
72	-0.00280399
73	0.00109902
74	-0.00117774
75	-0.00280399
76	-0.00312925
77	-0.00117774
78	-0.00280399
79	-0.00117774
80	-0.00377975
81	-0.000852486
82	-0.000527234
83	-0.00443025
84	-0.00605651
85	-0.00182824
86	0.000773772
87	-0.00443025
88	-0.00800802
89	-0.00377975
90	-0.00670701
91	-0.00312925
92	-0.00605651
93	-0.00605651
94	0.00044852
95	-0.000852486
96	-0.000527234
97	-0.00638176
98	-0.00963428
99	-0.00280399
100	-0.000201983
101	-0.00540601
102	-0.00443025
103	0.00044852
104	-0.00280399
105	-0.00605651
106	-0.00995953
107	-0.011911
108	-0.00573126
109	0.00174953
110	0.00174953
111	-0.00963428
112	-0.00508075
113	-0.00573126
114	-0.00768277
115	-0.00670701
116	-0.00215349
117	-0.000852486
118	-0.00280399
119	-0.00215349
120	-0.004105
121	0.000773772
